x,y,z
120.8516477,22.20223156,283
120.7995687,22.2161497,181
120.8037315,22.21674563,242
120.6903133,22.41727167,992
120.6955867,22.41834167,961
120.2684446,22.62233474,53
120.4011911,22.8633474,
120.6603948,22.88724026,357
120.5919117,22.93174,
120.5364887,23.12313123,284
120.5343625,23.124483,
120.5275601,23.12663459,184
120.510972,23.13490657,122
120.805477,22.015404,66
120.796208,22.217841,173
120.69575,22.418194,936
120.687297,22.929679,521
120.502058,23.268049,623
120.650905,22.705584,255
120.657292,22.417452,479
120.66,22.96,466
120.6811,22.671492,959
120.689644,22.800705,539
120.690561,22.770137,925
120.690834,22.530852,237
120.7003,22.80605,485
120.702,22.59892,494
120.7067,22.66347,1104
120.7088,22.66081,998
120.7133,22.698,545
120.7163,22.61879,1223
120.722,22.69778,614
120.7362,22.61413,1850
120.7471,22.75831,363
120.763,22.07079,80
120.7808,22.11369,274
120.7856,22.1072,281
120.7881,22.0968,337
120.7921,22.09425,266
120.8122,22.11213,359
120.824527,22.055257,65
120.826455,22.291951,124
120.829208,22.246462,401
120.829422,22.310459,491
120.831597,22.106258,250
120.831597,22.106258,250
120.833746,22.240885,431
120.833746,22.240885,431
120.834486,22.088766,216
120.840075,22.254583,419
120.845274,22.317908,414
120.845274,22.317908,414
120.846407,22.239723,423
120.855571,22.120361,100
120.85831,22.220931,379
120.85831,22.220931,379
120.859256,22.186828,261
120.860118,22.296029,60
120.865725,22.298274,168
120.8753,22.259663,53
120.8753,22.259663,53
120.882007,22.199183,83
120.884795,22.488146,709
120.885366,22.290486,24
120.88589,22.385226,272
120.888577,22.414327,592
120.889966,22.277194,17
120.890566,22.330047,33
120.892088,22.458456,190
120.89534,22.514362,121
120.898221,22.375272,267
120.903109,22.385201,106
120.903109,22.385201,106
120.906211,22.408106,322
120.906211,22.408106,322
120.907148,22.415287,304
120.912189,22.401246,370
120.912189,22.401246,370
120.913136,22.518093,125
120.917539,22.485484,325
120.917539,22.485484,325
120.925653,22.413924,14
120.928924,22.456417,72
120.928924,22.456417,72
121.0128,22.69864,249
121.0294,22.7036,78
121.03,22.76,307
121.0349,22.79933,827
121.0354,22.77367,182
121.0491,22.80262,361
121.057,22.90108,460
121.0639,22.79118,209
121.0639,22.79118,209
120.268788,22.629304,73
120.390972,22.81199,93
120.402816,22.798904,172
120.5875,22.95669,232
120.646,22.41445,458
121.264276,23.415766,1221
121.273828,23.511775,1446
121.290435,23.408369,594
120.82255,21.95948,201
120.82255,21.95948,201
120.82255,21.95948,201
120.82255,21.95948,201
120.82255,21.95948,201
120.82255,21.95948,201
120.82255,21.95948,201
120.82784,21.92853,9
120.83143,21.94999,126
120.90964,22.51935,
121.04522,22.76885,
121.02813,22.76943,
120.85483,22.40999,
120.85483,22.40999,
120.85483,22.40999,
120.91181,22.47491,
120.94571,22.61373,
121.02078,22.7056,
121.00355,22.70296,
121.11214,22.84932,
120.93479,22.52191,
120.89025,22.35283,
121.07603,22.82086,
121.07163,22.81614,
120.57656,23.13571,
120.71722,23.3075,
120.74943,22.11569,
120.71722,23.3075,
120.74943,22.11569,
120.71722,23.3075,
120.71722,23.3075,
120.71722,23.3075,
120.74943,22.11569,
120.74943,22.11569,
121.41133,23.52056,
121.37871,23.66842,
121.37871,23.66842,
120.84961,22.45862,
120.84961,22.45862,
120.91026,22.47867,
120.93888,22.61166,
121.01426,22.70431,
120.99738,22.70829,
121.11137,22.84991,
120.93165,22.51859,
120.89025,22.35283,
121.07779,22.82503,
121.07154,22.81742,
120.90247,22.52038,
121.04522,22.76885,
121.02364,22.77167,
120.84961,22.45862,
120.69281,22.45639,
120.71722,23.3075,
120.7098052,22.01717124,76
121.5033907,24.96102364,
120.792827,22.129409,233
120.81416,22.133057,504
120.83568,22.245311,462
120.672975,22.90211333,352
120.6398467,22.63350333,142
120.7995687,22.2161497,181
120.6652917,22.89323333,389
120.838931,22.122545,368
120.7994614,22.21722239,177
120.85965,21.89867,18
